Gene description,Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene type
serine and arginine rich splicing factor 9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10792],ENSG00000214867,SRSF9P1,21,36295173,36295702,-1,processed_pseudogene
"novel transcript, antisense to MORC3",ENSG00000273199,,21,36319792,36320670,-1,lncRNA
MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572],ENSG00000159256,MORC3,21,36320189,36386148,1,protein_coding
"novel transcript, sense overlapping MORC3",ENSG00000228107,,21,36360630,36362040,1,lncRNA
chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911],ENSG00000159259,CHAF1B,21,36385354,36419015,1,protein_coding
ATP synthase membrane subunit f pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:849],ENSG00000224421,ATP5MFP1,21,36388878,36389112,-1,processed_pseudogene
novel transcript,ENSG00000289221,,21,36421848,36430115,-1,lncRNA
lncRNA TGF-beta/SMAD3 pathway interacting [Source:HGNC Symbol;Acc:HGNC:56660],ENSG00000230479,LNCTSI,21,36430289,36627435,1,lncRNA
claudin 14 [Source:HGNC Symbol;Acc:HGNC:2035],ENSG00000159261,CLDN14,21,36460616,36576569,-1,protein_coding
novel transcript,ENSG00000279365,,21,36485867,36487760,1,TEC
"proteasome 26S subunit, non-ATPase 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9562]",ENSG00000223741,PSMD4P1,21,36485983,36487411,-1,processed_pseudogene
novel transcript,ENSG00000286517,,21,36526280,36542855,-1,lncRNA
novel transcript,ENSG00000286852,,21,36580172,36581229,1,lncRNA
novel transcript,ENSG00000231324,,21,36632681,36699016,-1,lncRNA
novel transcript,ENSG00000308206,,21,36695322,36696809,-1,lncRNA
novel transcript,ENSG00000224269,,21,36698773,36701564,-1,lncRNA
SIM bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10883],ENSG00000159263,SIM2,21,36699115,36749917,1,protein_coding
holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976],ENSG00000159267,HLCS,21,36748626,36990236,-1,protein_coding
HLCS intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41343],ENSG00000237646,HLCS-IT1,21,36803984,36806284,-1,lncRNA
"RNA, 5S ribosomal pseudogene 491 [Source:HGNC Symbol;Acc:HGNC:43391]",ENSG00000199806,RNA5SP491,21,36851911,36852028,1,rRNA_pseudogene
divergent-paired related homeobox pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:32171],ENSG00000270652,DPRXP5,21,36943267,36944125,1,processed_pseudogene
HLCS antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55850],ENSG00000224790,HLCS-AS1,21,36966461,36975164,1,lncRNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000207416,Y_RNA,21,36986739,36986851,-1,misc_RNA
mitochondrial ribosomal protein L20 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29699],ENSG00000215734,MRPL20P1,21,36994643,36995075,1,processed_pseudogene
ripply transcriptional repressor 3 [Source:HGNC Symbol;Acc:HGNC:3047],ENSG00000183145,RIPPLY3,21,37006150,37019662,1,protein_coding
novel transcript,ENSG00000302499,,21,37039268,37046997,-1,lncRNA
"RNA, U6 small nuclear 696, pseudogene [Source:HGNC Symbol;Acc:HGNC:47659]",ENSG00000212136,RNU6-696P,21,37045530,37045636,1,snRNA
phosphatidylinositol glycan anchor biosynthesis class P [Source:HGNC Symbol;Acc:HGNC:3046],ENSG00000185808,PIGP,21,37062846,37073318,-1,protein_coding
tetratricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12393],ENSG00000182670,TTC3,21,37073226,37203112,1,protein_coding
"novel transcript, sense intronic to TTC3",ENSG00000270116,,21,37100814,37101343,1,lncRNA
TTC3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40595],ENSG00000228677,TTC3-AS1,21,37187666,37193926,-1,lncRNA
"novel transcript, antisense to TTC3",ENSG00000302472,,21,37197564,37218203,-1,lncRNA
Down syndrome critical region 9 [Source:HGNC Symbol;Acc:HGNC:16301],ENSG00000230366,DSCR9,21,37208196,37237353,1,lncRNA
"RNA, 7SL, cytoplasmic 678, pseudogene [Source:HGNC Symbol;Acc:HGNC:46694]",ENSG00000263969,RN7SL678P,21,37215605,37215903,1,misc_RNA
"novel transcript, antisense to DSCR3",ENSG00000242553,,21,37220321,37338496,1,lncRNA
VPS26 endosomal protein sorting factor C [Source:HGNC Symbol;Acc:HGNC:3044],ENSG00000157538,VPS26C,21,37223417,37267919,-1,protein_coding
novel transcript,ENSG00000305669,,21,37281621,37282775,-1,lncRNA
"novel transcript, antisense to DYRK1A",ENSG00000287637,,21,37337382,37366858,-1,lncRNA
"novel transcript, antisense to DYRK1A",ENSG00000273210,,21,37365477,37365932,-1,lncRNA
dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091],ENSG00000157540,DYRK1A,21,37365573,37526358,1,protein_coding
"novel transcript, antisense to DYRK1A",ENSG00000309268,,21,37478892,37490026,-1,lncRNA
novel transcript,ENSG00000302728,,21,37563992,37564776,1,lncRNA
"novel transcript, antisense to KCNJ6",ENSG00000286717,,21,37590319,37661496,1,lncRNA
novel transcript,ENSG00000309141,,21,37592974,37594579,-1,lncRNA
potassium inwardly rectifying channel subfamily J member 6 [Source:HGNC Symbol;Acc:HGNC:6267],ENSG00000157542,KCNJ6,21,37607373,38121345,-1,protein_coding
KCNJ6 antisense RNA 1 [Source:NCBI gene (formerly Entrezgene);Acc:105372799],ENSG00000292434,KCNJ6-AS1,21,37644927,37740702,1,lncRNA
"novel transcript, antisense to KCNJ6",ENSG00000309128,,21,37687336,37698530,1,lncRNA
novel transcript,ENSG00000292435,,21,37751547,37841564,1,lncRNA
"novel transcript, antisense to KCNJ6",ENSG00000289538,,21,37816050,37840669,1,lncRNA
Down syndrome critical region 4 [Source:HGNC Symbol;Acc:HGNC:3045],ENSG00000184029,DSCR4,21,37951425,38121360,-1,lncRNA
DSCR4 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41328],ENSG00000223608,DSCR4-IT1,21,38006544,38010618,-1,lncRNA
Down syndrome critical region 8 [Source:HGNC Symbol;Acc:HGNC:16707],ENSG00000198054,DSCR8,21,38121441,38156511,1,lncRNA
potassium inwardly rectifying channel subfamily J member 15 [Source:HGNC Symbol;Acc:HGNC:6261],ENSG00000157551,KCNJ15,21,38155549,38307357,1,protein_coding
novel transcript,ENSG00000293371,,21,38204141,38206080,-1,lncRNA
"CTAGE family, member 5 (CTAGE5) pseudogene",ENSG00000270835,,21,38204544,38205606,-1,transcribed_processed_pseudogene
Down syndrome critical region 10 [Source:HGNC Symbol;Acc:HGNC:16302],ENSG00000233316,DSCR10,21,38206156,38208644,1,lncRNA
"novel transcript, sense intronic to KCNJ15",ENSG00000289927,,21,38229926,38235572,1,lncRNA
novel transcript,ENSG00000226012,,21,38237217,38238201,-1,lncRNA
spermatogenesis associated 20 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39636],ENSG00000231123,SPATA20P1,21,38238227,38238664,-1,processed_pseudogene
long intergenic non-protein coding RNA 1423 [Source:HGNC Symbol;Acc:HGNC:50732],ENSG00000231231,LINC01423,21,38323635,38333421,-1,lncRNA
novel transcript,ENSG00000310082,,21,38355916,38356906,-1,lncRNA
ETS transcription factor ERG [Source:HGNC Symbol;Acc:HGNC:3446],ENSG00000157554,ERG,21,38380027,38661780,-1,protein_coding
"novel transcript, sense intronic to ERG",ENSG00000289404,,21,38497742,38498268,-1,lncRNA
small nuclear ribonucleoprotein polypeptide G pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:39332],ENSG00000231480,SNRPGP13,21,38502445,38502621,1,processed_pseudogene
"novel transcript, antisense to ERG",ENSG00000287470,,21,38503562,38543347,1,lncRNA
novel transcript,ENSG00000302272,,21,38733002,38787035,1,lncRNA
long intergenic non-protein coding RNA 114 [Source:HGNC Symbol;Acc:HGNC:1265],ENSG00000223806,LINC00114,21,38733890,38773501,-1,lncRNA
novel transcript,ENSG00000303066,,21,38787836,38788917,1,lncRNA
"ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]",ENSG00000157557,ETS2,21,38805115,38824956,1,protein_coding
ETS2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56712],ENSG00000205622,ETS2-AS1,21,38812878,38966406,-1,lncRNA
novel transcript,ENSG00000229986,,21,38846247,38848644,1,lncRNA
novel transcript,ENSG00000287082,,21,38857488,38858863,1,lncRNA
novel transcript,ENSG00000229925,,21,38888772,38906169,1,lncRNA
Small nucleolar RNA SNORA62/SNORA6 family [Source:RFAM;Acc:RF00091],ENSG00000272015,SNORA62,21,38894785,38894867,1,snoRNA
ribosomal protein SA pseudogene 64 [Source:HGNC Symbol;Acc:HGNC:39642],ENSG00000227721,RPSAP64,21,38894917,38895252,1,processed_pseudogene
novel transcript,ENSG00000301247,,21,38907497,38908453,1,lncRNA
novel transcript,ENSG00000301200,,21,38909354,38913471,1,lncRNA
novel transcript,ENSG00000301185,,21,38926024,38931834,1,lncRNA
novel transcript,ENSG00000289445,,21,38959409,38961224,1,lncRNA
novel transcript,ENSG00000302169,,21,38971081,38979791,1,lncRNA
long intergenic non-protein coding RNA 1700 [Source:HGNC Symbol;Acc:HGNC:52488],ENSG00000232837,LINC01700,21,38974429,38977774,-1,lncRNA
long intergenic non-protein coding RNA 2940 [Source:HGNC Symbol;Acc:HGNC:55955],ENSG00000235888,LINC02940,21,38988567,39062894,-1,lncRNA
novel transcript,ENSG00000296867,,21,38995971,39015400,1,lncRNA
TEC,ENSG00000288266,,21,39023000,39023835,-1,TEC
long intergenic non-protein coding RNA 2943 [Source:HGNC Symbol;Acc:HGNC:55958],ENSG00000237609,LINC02943,21,39028536,39029128,-1,lncRNA
novel transcript,ENSG00000305314,,21,39030026,39030650,-1,lncRNA
novel transcript,ENSG00000305290,,21,39061469,39083832,1,lncRNA
ribosomal protein L23a pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:23840],ENSG00000228861,RPL23AP12,21,39127568,39128040,1,processed_pseudogene
PCBP2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8649],ENSG00000235701,PCBP2P1,21,39171130,39172106,-1,processed_pseudogene
,ENSG00000276873,,21,39171462,39171560,-1,misc_RNA
proteasome assembly chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3043],ENSG00000183527,PSMG1,21,39174769,39183503,-1,protein_coding
"novel transcript, antisense to BRWD1",ENSG00000297893,,21,39183932,39247943,1,lncRNA
bromodomain and WD repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:12760],ENSG00000185658,BRWD1,21,39184176,39321559,-1,protein_coding
"novel transcript, antisense to BRWD1",ENSG00000272991,,21,39184469,39184899,1,lncRNA
TIMM9 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39929],ENSG00000232608,TIMM9P2,21,39216624,39217506,1,processed_pseudogene
BRWD1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41920],ENSG00000237373,BRWD1-IT1,21,39217093,39219805,-1,lncRNA
methyltransferase like 21A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41921],ENSG00000229623,METTL21AP1,21,39235386,39236020,-1,processed_pseudogene
BRWD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40614],ENSG00000238141,BRWD1-AS1,21,39313893,39323218,1,lncRNA
high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:HGNC:4984],ENSG00000205581,HMGN1,21,39342315,39349653,-1,protein_coding
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000252915,Y_RNA,21,39344537,39344628,1,misc_RNA
"novel transcript, antisense to HMGN1",ENSG00000298029,,21,39349483,39376982,1,lncRNA
novel transcript,ENSG00000298046,,21,39367083,39370894,1,lncRNA
ring finger protein 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39922],ENSG00000227406,RNF6P1,21,39373763,39377066,-1,processed_pseudogene
guided entry of tail-anchored proteins factor 1 [Source:HGNC Symbol;Acc:HGNC:12790],ENSG00000182093,GET1,21,39377698,39428528,1,protein_coding
GET1-SH3BGR readthrough [Source:HGNC Symbol;Acc:HGNC:54635],ENSG00000285815,GET1-SH3BGR,21,39380332,39515506,1,protein_coding
lebercilin LCA5 like [Source:HGNC Symbol;Acc:HGNC:1255],ENSG00000157578,LCA5L,21,39405135,39445805,-1,protein_coding
SH3 domain binding glutamate rich protein [Source:HGNC Symbol;Acc:HGNC:10822],ENSG00000185437,SH3BGR,21,39445855,39515506,1,protein_coding
microRNA 6508 [Source:HGNC Symbol;Acc:HGNC:50217],ENSG00000275523,MIR6508,21,39447010,39447069,1,miRNA
MYL6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23772],ENSG00000235808,MYL6P2,21,39488327,39488760,1,processed_pseudogene
ribosomal protein S26 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:23775],ENSG00000228349,RPS26P4,21,39491544,39491898,-1,processed_pseudogene
JCAD pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54491],ENSG00000235012,JCADP1,21,39525583,39529855,1,processed_pseudogene
B3GALT5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16424],ENSG00000184809,B3GALT5-AS1,21,39527841,39612910,-1,lncRNA
"beta-1,3-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:920]",ENSG00000183778,B3GALT5,21,39556442,39673137,1,protein_coding
"novel transcript, sense overlapping B3GALT5",ENSG00000225330,,21,39630271,39726085,1,lncRNA
novel transcript,ENSG00000231713,,21,39727609,39730759,1,lncRNA
immunoglobulin superfamily member 5 [Source:HGNC Symbol;Acc:HGNC:5952],ENSG00000183067,IGSF5,21,39745183,39802081,1,protein_coding
"novel transcript, antisense to IGSF5",ENSG00000294761,,21,39778863,39788565,-1,lncRNA
Purkinje cell protein 4 [Source:HGNC Symbol;Acc:HGNC:8742],ENSG00000183036,PCP4,21,39867438,39929397,1,protein_coding
novel transcript,ENSG00000308873,,21,39979685,39984754,-1,lncRNA
DS cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:3039],ENSG00000171587,DSCAM,21,40010999,40847158,-1,protein_coding
microRNA 4760 [Source:HGNC Symbol;Acc:HGNC:41698],ENSG00000263973,MIR4760,21,40212352,40212431,-1,miRNA
DSCAM antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40197],ENSG00000235123,DSCAM-AS1,21,40383029,40385439,1,lncRNA
,ENSG00000207147,,21,40513144,40513279,1,snoRNA
"novel transcript, antisense to DSCAM",ENSG00000310309,,21,40562852,40564785,1,lncRNA
DSCAM intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41327],ENSG00000233756,DSCAM-IT1,21,40615378,40630767,-1,lncRNA
"novel transcript, antisense to DSCAM",ENSG00000288069,,21,40736318,40754888,1,lncRNA
yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39921],ENSG00000230859,YRDCP3,21,40863994,40864473,1,processed_pseudogene
novel transcript,ENSG00000286425,,21,41007244,41037362,-1,lncRNA
novel transcript,ENSG00000298201,,21,41010697,41024822,-1,lncRNA
novel transcript,ENSG00000301136,,21,41053100,41054111,1,lncRNA
novel transcript,ENSG00000299081,,21,41068009,41113078,-1,lncRNA
long intergenic non-protein coding RNA 323 [Source:HGNC Symbol;Acc:HGNC:19720],ENSG00000226496,LINC00323,21,41141493,41168796,-1,lncRNA
novel transcript,ENSG00000308866,,21,41149546,41151367,1,lncRNA
microRNA 3197 [Source:HGNC Symbol;Acc:HGNC:38366],ENSG00000263681,MIR3197,21,41167557,41167629,1,miRNA
beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934],ENSG00000182240,BACE2,21,41167801,41282530,1,protein_coding
placenta enriched 4 [Source:HGNC Symbol;Acc:HGNC:14616],ENSG00000280109,PLAC4,21,41171944,41186807,-1,lncRNA
BACE2 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:16024],ENSG00000224388,BACE2-IT1,21,41180097,41180626,1,lncRNA
"novel transcript, sense intronic to BACE2",ENSG00000306093,,21,41187018,41211533,1,lncRNA
"novel transcript, antisense to BACE2",ENSG00000298244,,21,41282480,41303097,-1,lncRNA
FAM3 metabolism regulating signaling molecule B [Source:HGNC Symbol;Acc:HGNC:1253],ENSG00000183844,FAM3B,21,41304212,41357727,1,protein_coding
MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533],ENSG00000183486,MX2,21,41361957,41409417,1,protein_coding
MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532],ENSG00000157601,MX1,21,41420020,41470071,1,protein_coding
MX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40383],ENSG00000228318,MX1-AS1,21,41441056,41445708,-1,lncRNA
transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876],ENSG00000184012,TMPRSS2,21,41464296,41531116,-1,protein_coding
,ENSG00000207503,,21,41539206,41539326,1,snoRNA
novel transcript,ENSG00000232806,,21,41559125,41562958,-1,lncRNA
novel transcript,ENSG00000223400,,21,41576135,41581342,-1,lncRNA
prostate cancer expressed EZH2 associated transcript [Source:HGNC Symbol;Acc:HGNC:54485],ENSG00000286027,PCSEAT,21,41580475,41582887,1,lncRNA
novel transcript,ENSG00000296085,,21,41642258,41651976,-1,lncRNA
long intergenic non-protein coding RNA 111 [Source:HGNC Symbol;Acc:HGNC:1262],ENSG00000227702,LINC00111,21,41679181,41697336,1,lncRNA
long intergenic non-protein coding RNA 479 [Source:HGNC Symbol;Acc:HGNC:19727],ENSG00000236384,LINC00479,21,41711461,41715775,-1,lncRNA
long intergenic non-protein coding RNA 112 [Source:HGNC Symbol;Acc:HGNC:1263],ENSG00000232401,LINC00112,21,41715799,41717975,1,lncRNA
novel transcript,ENSG00000307598,,21,41732793,41734454,-1,lncRNA
receptor interacting serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:496],ENSG00000183421,RIPK4,21,41739369,41767089,-1,protein_coding
novel transcript,ENSG00000236883,,21,41739373,41741308,1,lncRNA
microRNA 6814 [Source:HGNC Symbol;Acc:HGNC:50145],ENSG00000275166,MIR6814,21,41746772,41746841,-1,miRNA
novel transcript,ENSG00000289513,,21,41764826,41776433,1,lncRNA
novel transcript,ENSG00000307611,,21,41768671,41769359,-1,lncRNA
PR/SET domain 15 [Source:HGNC Symbol;Acc:HGNC:13999],ENSG00000141956,PRDM15,21,41798225,41879482,-1,protein_coding
novel transcript,ENSG00000236545,,21,41870633,41872054,1,lncRNA
novel transcript,ENSG00000227698,,21,41872483,41877613,-1,lncRNA
,ENSG00000251778,,21,41882205,41882300,1,snoRNA
C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266],ENSG00000157617,C2CD2,21,41885112,41954018,-1,protein_coding
"novel transcript, sense intronic to C2CD2",ENSG00000307821,,21,41928004,41932239,-1,lncRNA
zinc finger and BTB domain containing 21 [Source:HGNC Symbol;Acc:HGNC:13083],ENSG00000173276,ZBTB21,21,41986831,42010387,-1,protein_coding
ZNF295 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23130],ENSG00000237232,ZNF295-AS1,21,42009078,42055131,1,lncRNA
novel transcript,ENSG00000289322,,21,42051490,42057278,-1,lncRNA
uromodulin like 1 [Source:HGNC Symbol;Acc:HGNC:12560],ENSG00000177398,UMODL1,21,42062959,42143453,1,protein_coding
UMODL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23821],ENSG00000184385,UMODL1-AS1,21,42102134,42108534,-1,lncRNA
"novel transcript, antisense to UMODL1",ENSG00000304334,,21,42136269,42174297,-1,lncRNA
novel transcript,ENSG00000310393,,21,42192831,42193434,-1,lncRNA
ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73],ENSG00000160179,ABCG1,21,42199689,42304389,1,protein_coding
"RNA, 5S ribosomal pseudogene 492 [Source:HGNC Symbol;Acc:HGNC:43392]",ENSG00000223262,RNA5SP492,21,42221173,42221286,1,rRNA_pseudogene
trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757],ENSG00000160180,TFF3,21,42311667,42315409,-1,protein_coding
trefoil factor 2 [Source:HGNC Symbol;Acc:HGNC:11756],ENSG00000160181,TFF2,21,42346357,42350997,-1,protein_coding
trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755],ENSG00000160182,TFF1,21,42362282,42366535,-1,protein_coding
"novel transcript, antisense to TFF1",ENSG00000306128,,21,42363553,42365112,1,lncRNA
transmembrane serine protease 3 [Source:HGNC Symbol;Acc:HGNC:11877],ENSG00000160183,TMPRSS3,21,42371840,42396119,-1,protein_coding
ubiquitin associated and SH3 domain containing A [Source:HGNC Symbol;Acc:HGNC:12462],ENSG00000160185,UBASH3A,21,42403447,42447684,1,protein_coding
"RNA, U6 small nuclear 1149, pseudogene [Source:HGNC Symbol;Acc:HGNC:48112]",ENSG00000252619,RNU6-1149P,21,42417497,42417593,-1,snRNA
novel transcript,ENSG00000307177,,21,42449211,42450497,-1,lncRNA
novel transcript,ENSG00000309213,,21,42454804,42462020,-1,lncRNA
radial spoke head component 1 [Source:HGNC Symbol;Acc:HGNC:12371],ENSG00000160188,RSPH1,21,42472486,42496366,-1,protein_coding
solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024],ENSG00000160190,SLC37A1,21,42495994,42581440,1,protein_coding
RSPH1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55644],ENSG00000239930,RSPH1-DT,21,42496539,42497443,1,lncRNA
novel transcript,ENSG00000231867,,21,42508624,42509661,1,lncRNA
novel transcript,ENSG00000235772,,21,42560374,42561934,-1,lncRNA
long intergenic non-protein coding RNA 1671 [Source:HGNC Symbol;Acc:HGNC:52459],ENSG00000225431,LINC01671,21,42599280,42615094,-1,lncRNA
novel transcript,ENSG00000235023,,21,42648271,42651244,-1,lncRNA
novel transcript,ENSG00000305359,,21,42651528,42653475,-1,lncRNA
phosphodiesterase 9A [Source:HGNC Symbol;Acc:HGNC:8795],ENSG00000160191,PDE9A,21,42653591,42775513,1,protein_coding
PDE9A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40440],ENSG00000225731,PDE9A-AS1,21,42733593,42741820,-1,lncRNA
long intergenic non-protein coding RNA 1668 [Source:HGNC Symbol;Acc:HGNC:52456],ENSG00000283051,LINC01668,21,42777798,42781958,-1,lncRNA
novel transcript,ENSG00000300976,,21,42779728,42781649,1,lncRNA
novel transcript,ENSG00000233754,,21,42781074,42782229,-1,lncRNA
novel transcript,ENSG00000306625,,21,42804340,42817780,1,lncRNA
novel transcript,ENSG00000225218,,21,42831040,42836477,-1,lncRNA
WDR4 tRNA N7-guanosine methyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:12756],ENSG00000160193,WDR4,21,42843013,42879582,-1,protein_coding
NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719],ENSG00000160194,NDUFV3,21,42879644,42913304,1,protein_coding
"endogenous retrovirus group 48 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:17216]",ENSG00000233056,ERVH48-1,21,42916803,42925630,-1,protein_coding
microRNA 5692b [Source:HGNC Symbol;Acc:HGNC:43535],ENSG00000264580,MIR5692B,21,42950928,42951014,-1,miRNA
novel transcript,ENSG00000296063,,21,42955353,42955803,-1,lncRNA
"novel transcript, antisense to PKNOX1",ENSG00000224100,,21,42964639,42965363,-1,lncRNA
PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022],ENSG00000160199,PKNOX1,21,42974328,43034475,1,protein_coding
cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550],ENSG00000160200,CBS,21,43050900,43076943,-1,protein_coding
"novel transcript, antisense to U2AF1",ENSG00000295227,,21,43079863,43093181,1,lncRNA
U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:12453],ENSG00000160201,U2AF1,21,43092956,43107605,-1,protein_coding
"novel transcript, sense intronic to MX2",ENSG00000286549,,21,43107722,43168646,1,lncRNA
mitochondrial ribosomal protein L51 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:29724],ENSG00000232777,MRPL51P2,21,43115334,43115709,-1,processed_pseudogene
"FOXM1-regulated, gastric cancer associated [Source:HGNC Symbol;Acc:HGNC:51844]",ENSG00000236663,FRGCA,21,43134007,43141679,-1,lncRNA
novel transcript,ENSG00000295784,,21,43153882,43154858,1,lncRNA
novel transcript,ENSG00000228120,,21,43159066,43162277,-1,lncRNA
crystallin alpha A [Source:HGNC Symbol;Acc:HGNC:2388],ENSG00000160202,CRYAA,21,43169008,43172810,1,protein_coding
novel transcript,ENSG00000304896,,21,43177030,43178612,-1,lncRNA
novel transcript,ENSG00000304875,,21,43177207,43194427,1,lncRNA
novel transcript,ENSG00000308454,,21,43194533,43197548,1,lncRNA
novel transcript,ENSG00000307473,,21,43282871,43288280,-1,lncRNA
novel transcript,ENSG00000296246,,21,43303194,43304709,1,lncRNA
long intergenic non-protein coding RNA 322 [Source:HGNC Symbol;Acc:HGNC:33698],ENSG00000237864,LINC00322,21,43322417,43332039,-1,lncRNA
novel transcript,ENSG00000295592,,21,43332227,43333421,-1,lncRNA
novel transcript,ENSG00000310337,,21,43333474,43344347,-1,lncRNA
long intergenic non-protein coding RNA 1679 [Source:HGNC Symbol;Acc:HGNC:52469],ENSG00000237989,LINC01679,21,43358055,43365330,-1,lncRNA
novel transcript,ENSG00000225637,,21,43363332,43366576,1,lncRNA
novel transcript,ENSG00000300149,,21,43392478,43396950,-1,lncRNA
novel transcript,ENSG00000300030,,21,43409294,43410724,-1,lncRNA
salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142],ENSG00000142178,SIK1,21,43414483,43427131,-1,protein_coding
novel transcript,ENSG00000294125,,21,43433450,43436584,-1,lncRNA
novel transcript,ENSG00000294141,,21,43436472,43437465,1,lncRNA
long intergenic non-protein coding RNA 313 [Source:HGNC Symbol;Acc:HGNC:16416],ENSG00000185186,LINC00313,21,43439234,43479534,-1,lncRNA
novel transcript,ENSG00000301914,,21,43441136,43442833,1,lncRNA
long intergenic non-protein coding RNA 319 [Source:HGNC Symbol;Acc:HGNC:19730],ENSG00000188660,LINC00319,21,43446565,43453902,1,lncRNA
novel transcript,ENSG00000301935,,21,43455789,43457281,1,lncRNA
novel transcript,ENSG00000223975,,21,43459498,43467543,1,lncRNA
heat shock transcription factor 2 binding protein [Source:HGNC Symbol;Acc:HGNC:5226],ENSG00000160207,HSF2BP,21,43529186,43659504,-1,protein_coding
ribosomal protein L31 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10335],ENSG00000214326,RPL31P1,21,43551229,43551600,1,processed_pseudogene
H2B clustered histone 12 like [Source:HGNC Symbol;Acc:HGNC:4762],ENSG00000234289,H2BC12L,21,43565182,43565648,1,protein_coding
microRNA 6070 [Source:HGNC Symbol;Acc:HGNC:49950],ENSG00000278433,MIR6070,21,43609887,43609989,-1,miRNA
ribosomal RNA processing 1B [Source:HGNC Symbol;Acc:HGNC:23818],ENSG00000160208,RRP1B,21,43659560,43696079,1,protein_coding
"novel transcript, antisense to RRP1B",ENSG00000303490,,21,43695175,43703238,-1,lncRNA
pyridoxal kinase [Source:HGNC Symbol;Acc:HGNC:8819],ENSG00000160209,PDXK,21,43719094,43762307,1,protein_coding
